"Age" "Gender" "BMI" "Depression" "Depressed" "Sports" "Healthy_eating" "Dancing" "Music" "Slow_vs_Fast" "Dance" "Folk" "Country" "Classical" "Musical" "Pop" "Rock" "Metal_Hardrock" "Punk" "Hiphop_Rap" "Reggae_Ska" "Swing_Jazz" "Rocknroll" "Alternative" "Latino" "Techno_Trance" "Opera" "Movies" "Horror" "Thriller" "Comedy" "Romantic" "Sci-fi" "War" "Tales" "Animated" "Documentary" "Western" "Action"
"34" 19 "female" 24.9134948096886 2.3 FALSE 3 3 4 5 3 3 3 1 4 5 5 3 1 1 4 3 1 3 3 5 1 1 5 1 2 5 5 3 4 1 1 1 1 5
"35" 18 "female" 21.7180660897457 2.6 FALSE 1.5 2 1 5 3 1 3 2 3 4 4 4 1 1 1 1 1 1 1 1 1 4 5 3 5 4 4 4 4 5 5 3 1 5
"36" 21 "male" 29.5105916727538 2.5 FALSE 4 4 1 5 5 1 1 1 5 1 2 3 5 2 1 2 2 2 1 1 1 1 4 3 2 5 2 3 4 2 2 4 3 4
"37" 23 "female" 21.2585034013605 3.4 TRUE 3.5 3 5 5 5 5 3 1 5 2 5 4 1 2 4 5 2 2 1 3 4 4 5 1 4 5 5 3 3 5 5 5 2 5
"38" 21 "female" 19.1467221644121 3.4 TRUE 5 3 1 5 3 3 3 2 2 3 5 5 4 4 1 2 1 5 2 1 2 2 4 5 5 5 5 3 4 5 5 4 2 3
"39" 26 "female" 20.9572742022715 3.1 FALSE 2 4 1 4 3 4 1 1 1 1 5 1 1 1 3 2 1 1 1 2 3 1 5 1 5 5 3 2 1 2 2 4 1 5
"40" 20 "male" 22.6346763241286 1.9 FALSE 3 4 2 5 4 5 5 5 5 1 1 4 5 1 5 5 5 5 5 5 5 1 3 1 5 5 1 5 5 1 1 5 5 5
"41" 19 "female" 31.1418685121107 2.5 FALSE 2 3 1 5 5 2 2 2 3 4 5 5 4 4 3 3 3 3 4 3 3 1 5 4 4 5 5 5 3 5 5 4 3 5
"42" 20 "female" 20.7008167413151 2.8 FALSE 3.5 3 2 5 4 3 1 1 2 2 5 4 1 2 3 2 2 2 4 3 3 1 5 1 1 5 4 3 2 5 5 3 1 4
"43" 25 "female" 23.1833910034602 2.8 FALSE 3 3 3 4 4 4 2 1 3 3 4 4 1 1 3 1 3 3 4 5 4 3 5 3 4 5 4 3 1 5 4 4 1 3
"44" 27 "male" 23.8087970452672 3.3 FALSE 4.5 5 5 5 4 5 2 2 4 3 5 4 1 2 3 3 3 5 1 4 3 4 5 5 4 5 2 4 1 2 1 5 2 2
"45" 21 "female" 20.7008167413151 2.4 FALSE 4 3 3 5 3 4 3 4 1 5 5 5 3 2 5 2 3 5 4 5 2 2 5 5 5 5 3 5 1 3 2 1 1 5
"46" 20 "female" 23.9389897746315 2.3 FALSE 3.5 3 5 5 4 3 1 1 1 4 3 2 1 2 5 5 2 2 2 4 2 1 3 2 2 3 2 2 1 2 2 3 1 2
"47" 20 "female" 16.6335348289991 2.9 FALSE 1.5 2 1 5 4 2 1 2 2 2 3 5 3 5 3 2 2 4 2 1 2 1 5 3 4 5 3 3 3 5 3 1 1 4
"48" 19 "female" 19.5918367346939 3.1 FALSE 3.5 4 1 4 3 2 4 2 5 5 5 5 2 4 4 4 3 4 4 5 1 2 5 1 5 5 4 2 4 4 4 4 1 5
"49" 21 "female" 22.65625 2.9 FALSE 5 3 5 5 3 5 5 5 5 5 5 5 4 2 5 5 5 5 2 5 2 5 5 5 5 5 5 5 5 5 5 5 5 5
"50" 18 "female" 18.9619274241523 2.6 FALSE 5 3 5 5 3 4 4 3 4 5 4 3 2 2 3 3 3 3 3 5 2 5 5 3 3 5 5 1 5 5 3 3 1 5
"51" 21 "female" 22.265625 2.5 FALSE 4.5 3 4 5 3 5 5 3 5 5 5 5 4 3 3 3 4 4 3 5 4 5 5 5 5 5 5 5 3 5 5 5 2 5
"52" 23 "female" 16.5289256198347 3.6 TRUE 2 4 4 5 3 4 2 2 4 3 4 3 3 2 4 3 3 4 4 4 5 3 5 2 4 3 3 2 3 4 4 3 2 3
"53" 20 "female" 22.1453287197232 3.3 FALSE 3 3 2 5 3 1 2 3 4 3 4 5 1 4 2 3 4 5 5 1 1 4 5 4 2 5 5 3 2 4 4 3 3 3
"54" 21 "female" 18.2563187147552 3.9 TRUE 4 3 2 5 3 3 3 2 3 2 2 5 2 2 2 2 4 5 5 1 1 2 5 4 4 5 3 5 3 5 5 5 2 4
"55" 19 "male" 20.745069393718 3.6 TRUE 4 3 2 5 5 5 3 2 3 2 5 1 1 1 2 2 1 2 2 3 3 1 5 2 4 5 1 3 2 3 3 5 1 4
"56" 22 "male" 23.355636914531 3.5 TRUE 1 3 1 5 4 2 1 2 3 1 3 4 3 5 3 3 4 5 5 1 4 3 5 5 3 3 3 4 3 3 2 3 1 3
"57" 23 "male" 23.5102040816327 3.4 TRUE 3.5 3 2 5 2 2 2 2 4 4 4 4 1 3 2 3 3 4 4 2 1 3 5 1 4 4 4 4 5 3 2 4 3 4
"58" 23 "male" 20.5693296602388 3.4 TRUE 2.5 3 1 5 3 5 1 2 4 3 4 4 1 2 3 2 3 3 3 4 4 3 5 3 4 5 5 5 3 4 4 2 2 4
"59" 23 "male" 22.6757369614512 2.3 FALSE 5 5 1 5 3 5 4 5 4 4 5 4 5 4 5 4 5 5 5 4 5 5 5 4 5 5 1 5 5 5 5 5 1 5
"60" 18 "female" 16.0493827160494 3 FALSE 1.5 3 2 5 3 3 1 1 1 4 4 5 1 3 2 1 2 2 1 3 2 2 5 2 1 5 5 1 3 5 5 2 1 2
"61" 17 "male" 24.5434623813002 2.7 FALSE 3 3 1 4 3 3 1 2 2 1 3 3 3 2 4 2 2 2 1 2 4 2 5 5 5 5 3 5 5 4 4 3 2 5
"62" 20 "male" 24.7842575173938 2.5 FALSE 5 3 1 4 3 4 2 2 2 4 5 3 4 3 3 3 3 2 2 4 5 1 4 3 4 5 3 5 5 5 5 4 3 3
"63" 24 "female" 22.65625 2.1 FALSE 2 4 5 3 4 4 3 2 2 4 5 1 1 1 4 3 4 4 1 5 1 1 5 3 3 5 5 1 2 4 1 2 1 3
"64" 18 "female" 19.0519737844841 3.6 TRUE 3 2 1 5 5 3 2 1 2 4 3 5 5 5 1 5 4 4 3 2 4 2 5 1 2 5 4 4 2 5 5 2 1 3
"65" 20 "female" 17.6897888516692 2.9 FALSE 1 2 3 5 4 1 1 1 1 4 5 4 1 1 1 1 1 2 1 4 1 2 5 1 1 5 5 1 1 3 5 1 1 1
"66" 17 "male" 23.9590942293645 2.6 FALSE 3 3 2 5 3 5 2 2 2 3 5 3 1 1 5 2 3 1 1 2 3 1 5 1 3 5 3 3 3 2 3 2 1 1
"67" 20 "male" 27.1020408163265 2.3 FALSE 3 5 1 4 3 2 3 1 4 1 4 1 1 1 4 4 1 2 3 1 3 1 4 2 3 5 3 1 3 3 4 3 1 5
"68" 28 "female" 18.4240362811791 3 FALSE 3.5 4 3 5 3 2 2 2 2 5 5 5 2 4 4 2 2 3 3 5 1 1 5 4 5 5 5 3 3 5 5 4 2 5
"69" 21 "male" 25.5354463915222 2.9 FALSE 4 3 5 5 3 3 2 2 2 1 5 2 1 2 5 2 2 2 2 4 3 1 5 4 4 5 4 3 5 5 5 3 3 5
"70" 22 "male" 22.1606648199446 2.8 FALSE 3.5 3 1 5 3 2 1 4 5 3 2 1 1 1 5 4 1 1 1 1 2 4 5 1 1 5 1 4 5 3 1 4 5 5
"71" 20 "male" 20.8875868055556 2.7 FALSE 5 3 2 5 3 3 4 4 3 1 1 5 4 4 3 5 4 5 4 4 1 2 4 2 3 5 2 1 4 1 2 4 4 4
"72" 21 "female" 19.5918367346939 2.2 FALSE 4 4 5 5 3 5 1 2 2 2 5 4 2 1 4 2 2 2 2 5 5 1 5 1 2 5 3 1 1 5 5 5 2 4
"73" 21 "female" 21.0498179023689 3.1 FALSE 3.5 4 3 5 3 4 4 4 3 4 5 5 2 2 5 3 3 3 3 4 4 4 5 4 4 5 4 5 5 5 5 5 3 4
"74" 19 "female" 18.066167337875 3 FALSE 5 3 5 5 3 4 2 2 2 3 4 5 2 3 4 4 3 4 2 5 3 2 5 5 4 5 4 3 4 5 5 4 2 3
"75" 22 "male" 25.5354463915222 2.2 FALSE 4.5 3 5 5 4 4 1 2 3 3 5 4 2 3 4 4 3 4 3 5 3 3 5 4 3 5 3 5 3 5 4 4 3 5
"76" 18 "female" 17.6897888516692 3.8 TRUE 3 4 1 5 5 1 3 1 3 2 1 5 5 4 1 1 2 2 5 1 1 3 5 1 2 3 2 4 3 5 5 5 3 4
"77" 19 "female" 17.0068027210884 2.7 FALSE 3 5 1 5 3 1 1 4 5 5 1 5 5 5 4 4 5 5 4 3 1 5 5 5 5 4 1 5 5 3 5 5 5 5
"78" 22 "male" 20.9643605870021 3.2 FALSE 4 3 2 5 2 3 3 5 5 3 3 4 4 1 1 1 2 3 3 2 4 3 5 3 3 5 4 3 5 5 5 3 3 3
"79" 24 "male" 20.2865079117381 2.8 FALSE 5 3 4 4 3 4 3 3 3 2 4 5 3 3 4 3 3 3 3 2 3 3 5 2 4 4 1 4 4 3 4 4 3 5
"80" 18 "female" 19.7776986669831 2.3 FALSE 3.5 3 5 5 4 4 1 2 2 4 4 5 2 4 3 5 3 4 4 5 2 1 5 1 5 5 4 1 5 3 2 4 2 3
"81" 21 "female" 27.8851873884593 3.5 TRUE 1 3 4 5 5 5 1 1 5 2 5 5 1 1 1 1 5 5 4 5 5 1 5 5 5 5 2 2 1 3 3 4 1 5
"82" 22 "female" 20.5456936226167 3.5 TRUE 2 3 2 5 3 3 2 1 4 3 3 5 3 3 1 2 4 4 4 2 1 3 5 1 4 4 3 2 3 3 3 3 3 3
"83" 19 "female" 24.4560634171024 3.3 FALSE 3 3 1 4 2 3 2 1 3 4 3 4 1 3 1 3 1 2 3 1 1 1 4 2 2 5 4 2 2 5 5 3 1 5
"84" 19 "female" 21.7993079584775 2.7 FALSE 2 3 3 5 2 1 3 4 4 4 2 3 1 2 1 3 5 4 3 3 1 4 5 1 3 3 4 3 2 4 4 5 3 3
"85" 21 "male" 21.2228082768952 2.5 FALSE 1.5 2 1 5 5 5 1 1 1 2 4 3 1 3 5 2 1 3 3 1 4 1 5 5 5 5 1 4 2 2 3 3 1 5
"86" 21 "male" 23.1481481481481 3.1 FALSE 3 1 1 5 3 3 2 2 4 3 3 3 1 2 5 5 4 4 2 3 2 2 5 3 3 5 3 5 5 4 4 3 1 5
"87" 19 "male" 24.4535684096124 2.7 FALSE 2.5 1 1 5 3 1 1 1 1 1 2 4 5 4 3 1 1 1 4 1 4 1 2 1 1 5 1 5 5 5 5 1 1 2
"88" 19 "male" 18.75 2.9 FALSE 3 3 1 5 3 2 1 1 1 1 2 1 1 1 5 2 2 1 1 1 2 1 5 2 3 5 3 5 5 3 5 5 3 5
"89" 22 "male" 20.0177299894192 3.2 FALSE 5 4 1 3 5 5 1 1 1 1 3 5 2 1 1 3 2 2 5 5 3 1 3 3 3 2 2 5 5 1 3 5 3 5
"90" 18 "female" 19.0519737844841 2.6 FALSE 3 3 3 5 3 4 1 1 2 2 4 2 1 3 2 4 1 2 1 4 1 1 3 2 1 5 4 2 1 4 3 5 1 3
"91" 21 "female" 23.9994591671174 2.3 FALSE 2.5 3 1 5 4 4 3 2 4 5 4 5 3 2 4 4 3 3 2 3 2 2 5 2 2 5 5 3 2 5 5 3 2 3
"92" 18 "male" 23.9132745243915 2.8 FALSE 3 3 1 5 3 1 3 2 3 1 2 4 5 4 1 4 3 3 3 1 1 2 4 1 4 5 3 4 5 4 5 5 4 5
"93" 20 "female" 19.4869614512472 3.1 FALSE 3 4 4 5 3 1 2 3 5 4 1 5 2 5 1 4 5 5 5 2 1 4 5 4 5 5 4 5 4 5 5 5 2 5
"94" 21 "male" 21.6049382716049 2.1 FALSE 3 1 2 4 4 3 3 2 4 2 2 4 4 3 3 3 4 4 4 3 3 2 4 4 4 4 2 3 5 4 4 5 3 4
"95" 24 "male" 23.355636914531 2.8 FALSE 4.5 3 1 5 5 1 3 1 3 2 2 4 5 1 1 2 3 1 1 1 1 2 4 1 2 4 3 1 4 4 5 5 3 3
"96" 19 "male" 24.1516725033209 3 FALSE 3.5 3 2 5 3 4 4 5 5 3 4 5 1 2 4 4 4 5 3 5 3 4 5 2 3 5 5 5 5 5 5 4 3 4
"97" 17 "female" 21.6128117913832 3.3 FALSE 2.5 3 1 4 3 2 2 1 4 1 2 4 4 3 2 1 1 2 3 2 2 3 5 3 5 5 4 3 2 4 4 3 1 5
"98" 18 "male" 20.9839876033058 3.5 TRUE 2 2 1 5 2 2 2 4 4 2 3 5 5 3 2 2 2 3 1 3 1 4 5 1 4 4 2 5 5 3 3 4 3 5
"99" 21 "male" 20.4528853177502 2.8 FALSE 3 4 1 5 4 4 5 2 3 1 4 4 1 1 1 4 5 4 4 4 4 1 4 1 2 5 3 4 5 4 3 4 5 4
"100" 22 "female" 20.3222528668892 4.4 TRUE 2 3 3 5 3 4 3 2 5 3 3 4 2 2 3 3 4 4 5 2 4 4 4 1 2 4 4 2 2 5 4 4 2 4
"101" 20 "female" 20.3244382551093 3 FALSE 2.5 3 5 5 3 4 2 2 4 3 3 3 2 2 1 3 4 2 3 5 4 1 5 1 3 4 4 3 1 4 4 4 1 2
"102" 19 "female" 20.3244382551093 2.2 FALSE 1 3 1 5 3 2 1 1 3 4 4 4 1 3 2 2 2 3 3 1 1 4 5 1 4 4 3 2 2 5 5 3 2 4
"103" 21 "female" 21.3577955953923 4.1 TRUE 1 2 1 5 3 2 2 2 2 1 3 5 1 2 1 1 2 4 5 2 1 1 4 1 2 5 5 3 3 5 5 3 1 2
"104" 18 "female" 20.2020202020202 3.8 TRUE 1 2 1 5 3 2 2 1 1 3 5 3 2 1 1 1 1 2 1 4 1 1 4 1 2 4 5 2 2 4 2 4 1 4
"105" 23 "male" 19.5918367346939 2.4 FALSE 2.5 3 1 5 3 1 2 2 4 1 3 4 2 4 2 4 4 4 4 2 1 1 5 3 2 3 2 2 3 2 2 3 3 2
"106" 16 "female" 20.8325296091972 3 FALSE 1.5 3 1 4 2 4 2 1 3 2 4 2 2 1 2 2 2 2 1 2 3 2 3 2 3 4 3 1 2 3 3 2 1 2
"107" 23 "male" 25.4640108646446 2.2 FALSE 2.5 2 4 5 5 4 1 2 4 4 2 5 5 2 1 3 5 5 3 4 3 2 3 1 3 5 4 2 5 4 4 5 3 5
"108" 21 "male" 26.2345679012346 2 FALSE 2.5 2 1 4 3 2 3 4 2 1 4 4 2 2 4 2 2 4 1 1 3 1 4 4 4 4 3 3 4 3 4 1 3 4
"109" 23 "female" 23.0111768573307 2.8 FALSE 3 3 2 5 3 3 2 2 5 3 1 5 2 4 1 3 4 4 5 3 1 3 4 4 4 3 2 2 2 4 4 5 2 5
"110" 20 "female" 27.0416441319632 3.1 FALSE 3 3 1 5 3 3 3 3 3 4 3 5 3 1 3 1 5 5 3 3 1 3 3 1 4 4 2 1 1 2 4 5 1 4
"111" 20 "female" 21.9075824577062 3 FALSE 3.5 3 4 5 3 3 3 2 3 2 2 4 3 3 2 4 5 3 4 3 2 2 5 2 3 5 4 4 3 4 4 3 2 2
"112" 20 "female" 21.0771952275208 2.9 FALSE 1 3 1 3 5 4 1 1 3 1 4 4 1 4 4 1 1 1 2 1 1 1 3 1 2 4 4 1 1 5 5 3 1 4
"113" 19 "female" 20.4283571132178 3.4 TRUE 2.5 1 1 4 3 3 3 4 4 3 4 4 3 3 3 4 3 4 4 2 3 3 5 2 4 4 3 4 4 3 3 4 2 4
"114" 15 "female" 16.3720805907314 3.4 TRUE 2 5 5 5 5 5 1 5 5 5 5 5 5 1 2 3 1 5 5 5 5 2 5 1 4 3 5 5 5 2 5 2 1 1
"115" 20 "female" 23.6712536295922 2.9 FALSE 1.5 3 2 5 4 5 3 1 2 2 4 5 2 2 2 3 4 3 4 3 1 1 5 1 1 4 5 2 2 5 5 5 2 2
"116" 18 "male" 27.6517490402427 2.2 FALSE 3 3 2 5 4 3 1 1 2 2 4 2 1 2 5 2 1 1 1 1 3 1 5 3 5 2 1 4 3 3 3 3 4 5
"117" 15 "female" 17.6470588235294 3.4 TRUE 1.5 2 1 5 4 3 1 1 1 1 4 4 1 5 2 4 3 2 2 2 1 1 5 4 4 5 5 5 4 2 5 4 1 3
"118" 20 "female" 17.3010380622837 3.2 FALSE 3.5 1 5 5 3 2 4 1 4 2 1 3 1 1 1 2 5 1 1 3 1 3 5 1 1 2 2 1 4 5 4 5 1 4
"119" 16 "female" 20.4152249134948 4.8 TRUE 2 3 3 5 3 4 3 3 3 3 3 3 1 1 4 4 4 4 4 4 4 2 5 5 3 5 5 5 3 5 5 5 3 4
"120" 18 "male" 18.1154127100073 3.2 FALSE 4 3 1 5 3 2 1 3 5 1 3 5 4 4 3 5 4 4 5 1 1 3 4 3 5 5 2 4 5 3 3 5 2 4
"121" 21 "male" 26.2965668371074 3.1 FALSE 5 3 4 5 3 4 3 2 3 2 4 3 1 1 5 1 1 1 1 1 1 3 5 4 4 5 4 3 5 2 2 4 3 4
"122" 19 "female" 18.7783446712018 3.1 FALSE 3 3 5 5 4 5 3 2 3 3 5 4 1 2 5 3 4 4 1 2 3 2 5 3 3 5 5 2 1 3 4 1 2 3
"123" 19 "female" 22.4913494809689 2.7 FALSE 2 3 1 3 4 1 3 1 3 1 3 5 5 4 4 3 1 1 5 5 2 1 3 3 1 5 5 1 1 5 5 5 1 1
"124" 19 "female" 28.6501377410468 3.3 FALSE 1.5 2 1 1 4 4 1 1 2 2 2 4 1 1 1 2 1 1 3 2 3 2 4 2 4 4 4 1 2 2 2 4 1 1
"125" 18 "male" 24.2512783053324 2.8 FALSE 2.5 3 1 5 4 3 2 3 2 2 3 5 4 3 5 2 2 2 4 2 1 1 5 2 3 3 3 4 3 4 2 4 2 4
"126" 20 "male" 20.2020202020202 2.6 FALSE 3.5 3 3 4 3 4 4 4 3 3 5 3 2 3 4 3 2 4 3 3 3 2 4 4 4 5 5 4 3 3 3 4 3 4
"127" 19 "male" 25.1063327032136 2.4 FALSE 2.5 2 1 2 3 1 3 1 3 4 1 2 2 2 3 2 1 1 1 1 1 2 3 2 2 4 2 5 5 4 4 4 2 2
"128" 22 "female" 19.4707778735357 2.6 FALSE 4.5 4 1 5 2 2 2 3 4 4 3 5 5 3 1 2 4 4 3 1 1 4 5 2 4 4 3 4 2 2 2 3 1 4
"129" 20 "male" 30.8641975308642 2.7 FALSE 4.5 1 1 5 4 3 1 1 3 2 2 4 4 4 2 5 4 4 4 2 2 1 5 4 4 5 2 2 2 3 3 2 1 4
"130" 25 "male" 24.9134948096886 3 FALSE 4 3 1 5 3 5 2 2 3 3 4 4 2 1 4 3 3 4 3 2 2 2 5 5 3 5 3 2 5 2 3 5 2 4
"131" 24 "male" 23.6669101533966 2.4 FALSE 1 3 1 5 3 1 2 4 5 1 1 5 4 4 2 2 3 3 3 2 1 3 4 4 4 5 3 2 5 1 1 5 3 4
"132" 19 "female" 24.6229609110496 4.1 TRUE 3 3 4 5 4 4 3 3 5 2 3 3 2 3 3 2 4 3 4 2 2 3 4 5 4 3 3 4 2 3 4 3 1 2
"133" 25 "male" 30.9617287497207 3.2 FALSE 2.5 3 1 5 4 2 4 3 4 2 3 5 2 5 3 5 2 3 3 2 1 2 5 4 4 4 4 3 3 3 2 3 2 4
"134" 26 "male" 19.5918367346939 2.6 FALSE 2 2 1 5 5 4 4 4 2 2 4 4 4 4 2 2 2 1 2 1 1 2 5 5 5 3 2 4 5 3 3 3 4 4
"135" 15 "female" 18.75 3.2 FALSE 5 3 2 5 3 4 2 1 3 2 5 4 1 3 4 5 4 3 3 2 5 1 5 4 4 5 5 4 1 5 5 2 1 4
"136" 19 "male" 20.9905409714104 3.2 FALSE 5 1 4 5 3 3 2 1 2 1 1 5 4 5 3 5 4 4 5 1 3 1 5 5 4 5 3 5 5 4 4 4 1 3
"137" 20 "female" 24.6755002704164 3.7 TRUE 3 4 1 5 3 2 2 2 2 2 4 5 3 3 4 3 2 3 2 2 3 2 5 2 5 5 3 5 2 4 4 3 1 5
"138" 22 "male" 20.9711720226843 2.9 FALSE 1 4 2 5 5 3 1 1 2 1 4 3 2 1 1 1 1 1 3 1 5 1 4 5 5 3 3 5 3 2 2 4 1 3
"139" 20 "female" 21.2585034013605 2.7 FALSE 2 3 4 5 4 5 2 4 3 1 4 1 1 1 5 3 3 2 1 5 2 1 5 1 1 5 5 2 5 3 2 4 1 3
"140" 21 "female" 25.0761930481077 2.6 FALSE 3.5 4 1 5 5 1 2 1 3 1 1 3 5 2 1 1 1 1 2 2 1 5 4 4 4 5 3 3 2 3 4 3 1 4
"141" 20 "female" 21.9135802469136 3.8 TRUE 4 1 1 5 4 4 1 2 4 3 4 4 1 3 3 3 3 4 2 1 1 1 5 5 5 5 3 3 3 4 4 4 3 4
